"xx","V1","V12","predicted_price"
101,"2015-04-30 11:00:00",54.52,53.989896820563
102,"2015-08-05 07:00:00",67.44,50.7679396236991
103,"2015-08-25 17:00:00",63.5,51.5586335788218
104,"2015-09-03 12:00:00",60.09,52.3886640996842
105,"2015-08-24 14:00:00",57.9,50.5709492092203
106,"2015-05-13 09:00:00",55.1,49.0471710152635
107,"2015-09-19 13:00:00",43.5,51.5015618739031
108,"2015-01-05 02:00:00",45.67,54.390879779528
109,"2015-06-26 11:00:00",66.1,56.3901878428708
110,"2015-05-15 09:00:00",50.6,54.4875398023118
111,"2015-10-13 17:00:00",60.73,54.7833712585554
112,"2015-06-29 01:00:00",46.37,51.6509094451689
113,"2015-08-28 05:00:00",62.07,50.384095531176
114,"2015-06-03 21:00:00",54.98,46.5352086772315
115,"2015-07-03 00:00:00",57.88,47.2019577339649
116,"2015-06-26 22:00:00",52.65,47.4795750391177
117,"2015-08-25 07:00:00",65,47.4402103070215
118,"2015-06-23 00:00:00",53.75,46.454550165077
119,"2015-10-18 07:00:00",47.21,46.3006409600761
120,"2015-10-18 15:00:00",43.85,47.2449246349168
121,"2015-04-24 14:00:00",51.72,49.6112710658113
122,"2015-10-03 10:00:00",54.02,50.8054070074591
123,"2015-10-17 10:00:00",47.15,50.5012763904282
124,"2015-05-06 16:00:00",62,50.9255158070752
125,"2015-07-24 20:00:00",60.5,50.7612847491047
126,"2015-05-08 11:00:00",37.7,51.6089236031175
127,"2015-04-18 12:00:00",39.75,54.1751881760072
128,"2015-08-24 09:00:00",64,53.2684198671596
129,"2015-08-06 07:00:00",68.1,53.5183827363777
130,"2015-07-03 07:00:00",65.01,59.0769244722591
131,"2015-10-17 16:00:00",48.8,51.6246096062918
132,"2015-07-08 20:00:00",61.11,52.6578763995468
133,"2015-04-06 13:00:00",30,53.484475942969
134,"2015-05-21 14:00:00",47.6,52.4257934371782
135,"2015-08-23 11:00:00",26.19,55.0592226413388
136,"2015-06-04 09:00:00",59.14,50.0561999463593
137,"2015-10-03 06:00:00",48.77,43.2037213120236
138,"2015-05-30 02:00:00",50,44.5319275771743
139,"2015-09-28 01:00:00",42.37,45.5616051210643
140,"2015-09-01 04:00:00",49.3,43.3638856754633
141,"2015-07-09 05:00:00",48.69,43.0843273485593
142,"2015-10-19 07:00:00",62.52,40.7770701304668
143,"2015-06-11 05:00:00",59.75,40.2378716366832
144,"2015-06-21 23:00:00",53.48,39.9993206165234
145,"2015-08-19 21:00:00",54.03,42.3856369506584
146,"2015-07-04 00:00:00",49.35,43.8593667730906
147,"2015-06-04 06:00:00",59,43.9410651496433
148,"2015-07-10 00:00:00",61.69,43.5949023617619
149,"2015-08-26 03:00:00",41.68,44.4521477886809
150,"2015-08-14 07:00:00",60.28,44.6991977904096
151,"2015-08-24 20:00:00",68.46,43.4559206527133
152,"2015-04-01 16:00:00",26.53,44.3361998773458
153,"2015-07-14 00:00:00",48.7,42.6131299520946
154,"2015-08-17 01:00:00",47.94,48.2479394328909
155,"2015-08-02 01:00:00",44.68,47.4152240510683
156,"2015-06-03 19:00:00",59.6,46.0404475208834
157,"2015-02-28 16:00:00",31.27,47.964335323992
158,"2015-06-18 02:00:00",28.56,46.46802247592
159,"2015-03-18 10:00:00",52,48.6836267443343
160,"2015-03-22 18:00:00",51.52,49.6268098210718
161,"2015-04-25 00:00:00",37.52,46.0665610329427
162,"2015-05-11 03:00:00",47.6,44.6444260581761
163,"2015-09-28 02:00:00",39.59,44.5285192482048
164,"2015-03-19 09:00:00",46.1,46.7139169201566
165,"2015-08-10 03:00:00",48.04,49.0024960649373
166,"2015-09-01 05:00:00",55.93,45.1734534726178
167,"2015-07-10 23:00:00",51.59,47.4786540924634
168,"2015-06-29 00:00:00",46.25,50.5281923982147
169,"2015-02-26 22:00:00",42.9,51.9346760086801
170,"2015-05-06 03:00:00",52.04,50.1856186153665
171,"2015-01-17 16:00:00",43.1,48.099947408974
172,"2015-03-19 00:00:00",31.6,47.4363451406384
173,"2015-03-11 20:00:00",53.69,46.5047482359807
174,"2015-02-24 16:00:00",28.34,42.6582772695968
175,"2015-01-26 16:00:00",65.78,37.4708703401713
176,"2015-03-27 21:00:00",50.5,38.4580025147768
177,"2015-03-18 23:00:00",36.28,39.0044956748435
178,"2015-04-02 19:00:00",55.69,41.4413579521393
179,"2015-04-25 01:00:00",37.52,44.0073573803916
180,"2015-03-31 19:00:00",50.89,45.9105193648908
181,"2015-03-16 17:00:00",58.7,64.9837604980368
182,"2015-09-17 00:00:00",35,59.8590011725126
183,"2015-02-02 01:00:00",35,60.0752641504017
184,"2015-01-21 03:00:00",42,62.4099946730724
185,"2015-07-06 12:00:00",63.1,65.7859227890831
186,"2015-07-06 14:00:00",59.69,55.0338681720524
